 ATC code,Name,DDD,U,Adm.R,Note,href
A01AC54,"prednisolone, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=A01AC&showdescription=no
A01AD01,epinephrine,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AD&showdescription=no
A01AD02,benzydamine,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AD&showdescription=no
A01AD05,acetylsalicylic acid,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AD&showdescription=no
A01AD06,adrenalone,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AD&showdescription=no
A01AD07,amlexanox,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AD&showdescription=no
A01AD08,becaplermin,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AD&showdescription=no
A01AD11,various,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AD&showdescription=no
A02AA01,magnesium carbonate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AA&showdescription=no
A02AA02,magnesium oxide,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AA&showdescription=no
A02AA03,magnesium peroxide,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AA&showdescription=no
A02AA04,magnesium hydroxide,3,g,O,,https://www.whocc.no/atc_ddd_index/?code=A02AA&showdescription=no
A02AA05,magnesium silicate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AA&showdescription=no
A02AA10,combinations,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AA&showdescription=no
A02AB01,aluminium hydroxide,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AB&showdescription=no
A02AB02,algeldrate,5,g,O,,https://www.whocc.no/atc_ddd_index/?code=A02AB&showdescription=no
A02AB03,aluminium phosphate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AB&showdescription=no
A02AB04,dihydroxialumini sodium carbonate,4,g,O,,https://www.whocc.no/atc_ddd_index/?code=A02AB&showdescription=no
A02AB05,aluminium acetoacetate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AB&showdescription=no
A02AB06,aloglutamol,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AB&showdescription=no
A02AB07,aluminium glycinate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AB&showdescription=no
A02AB10,combinations,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AB&showdescription=no
A02AC01,calcium carbonate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AC&showdescription=no
A02AC02,calcium silicate,6,g,O,,https://www.whocc.no/atc_ddd_index/?code=A02AC&showdescription=no
A02AC10,combinations,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AC&showdescription=no
A02AD01,ordinary salt combinations,,,,Standard dose: 10 tablets or 50 ml mixt,https://www.whocc.no/atc_ddd_index/?code=A02AD&showdescription=no
A02AD02,magaldrate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AD&showdescription=no
A02AD03,almagate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AD&showdescription=no
A02AD04,hydrotalcite,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AD&showdescription=no
A02AD05,almasilate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AD&showdescription=no
A02AF01,magaldrate and antiflatulents,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AF&showdescription=no
A02AF02,ordinary salt combinations and antiflatulents,,,,,https://www.whocc.no/atc_ddd_index/?code=A02AF&showdescription=no
A02BB01,misoprostol,0.8,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A02BB&showdescription=no
A02BB02,enprostil,70,mcg,O,,https://www.whocc.no/atc_ddd_index/?code=A02BB&showdescription=no
A02BC01,omeprazole,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC01,,20,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC02,pantoprazole,40,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC02,,40,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC03,lansoprazole,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC04,rabeprazole,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC05,esomeprazole,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC05,,30,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC06,dexlansoprazole,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC07,dexrabeprazole,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC08,vonoprazan,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC09,tegoprazan,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC53,"lansoprazole, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BC54,"rabeprazole, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BC&showdescription=no
A02BD01,"omeprazole, amoxicillin and metronidazole",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD02,"lansoprazole, tetracycline and metronidazole",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD03,"lansoprazole, amoxicillin and metronidazole",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD04,"pantoprazole, amoxicillin and clarithromycin",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD05,"omeprazole, amoxicillin and clarithromycin",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD06,"esomeprazole, amoxicillin and clarithromycin",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD07,"lansoprazole, amoxicillin and clarithromycin",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD08,"bismuth subcitrate, tetracycline and metronidazole",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD09,"lansoprazole, clarithromycin and tinidazole",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD10,"lansoprazole, amoxicillin and levofloxacin",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD12,"rabeprazole, amoxicillin and clarithromycin",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD13,"rabeprazole, amoxicillin and metronidazole",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD14,"vonoprazan, amoxicillin and clarithromycin",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD15,"vonoprazan, amoxicillin and metronidazole",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BD16,"omeprazole, amoxicillin and rifabutin",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BD&showdescription=no
A02BX01,carbenoxolone,0.15,g,O,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX02,sucralfate,4,g,O,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX03,pirenzepine,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX03,,20,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX04,methiosulfonium chloride,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX05,bismuth subcitrate,0.48,g,O,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX06,proglumide,1.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX07,gefarnate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX08,sulglicotide,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX09,acetoxolone,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX10,zolimidine,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX11,troxipide,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX12,bismuth subnitrate,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX13,alginic acid,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX14,rebamipide,0.3,g,O,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX15,teprenone,,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX51,"carbenoxolone, combinations excl. psycholeptics",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX71,"carbenoxolone, combinations with psycholeptics",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A02BX77,"gefarnate, combinations with psycholeptics",,,,,https://www.whocc.no/atc_ddd_index/?code=A02BX&showdescription=no
A03AA01,oxyphencyclimine,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AA03,camylofin,0.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AA03,,0.2,g,R,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AA04,mebeverine,0.3,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AA05,trimebutine,0.6,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AA06,rociverine,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AA07,dicycloverine,80,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AA07,,80,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AA08,dihexyverine,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AA09,difemerine,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AA30,piperidolate,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AA&showdescription=no
A03AB01,benzilone,70,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB02,glycopyrronium bromide,3,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB02,,0.3,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB02,,3,mg,R,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB03,oxyphenonium,25,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB04,penthienate,15,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB05,propantheline,60,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB05,,60,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB06,otilonium bromide,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB07,methantheline,0.15,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB08,tridihexethyl,0.125,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB09,isopropamide,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB10,hexocyclium,0.15,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB11,poldine,12,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB12,mepenzolate,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB13,bevonium,0.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB14,pipenzolate,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB15,diphemanil,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,0.3,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB17,tiemonium iodide,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB18,prifinium bromide,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB19,timepidium bromide,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB21,fenpiverinium,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AB53,"oxyphenonium, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=A03AB&showdescription=no
A03AC02,dimethylaminopropionylphenothiazine,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AC&showdescription=no
A03AC04,nicofetamide,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AC&showdescription=no
A03AC05,tiropramide,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AC&showdescription=no
A03AD01,papaverine,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AD&showdescription=no
A03AD01,,0.1,g,P,,https://www.whocc.no/atc_ddd_index/?code=A03AD&showdescription=no
A03AD02,drotaverine,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AD&showdescription=no
A03AD02,,0.1,g,P,,https://www.whocc.no/atc_ddd_index/?code=A03AD&showdescription=no
A03AD30,moxaverine,50,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AD&showdescription=no
A03AE01,alosetron,1,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AE&showdescription=no
A03AE03,cilansetron,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AE&showdescription=no
A03AX01,fenpiprane,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX02,diisopromine,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX03,chlorbenzoxamine,0.15,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX04,pinaverium,0.15,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX05,fenoverine,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX06,idanpramine,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX07,proxazole,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX08,alverine,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX09,trepibutone,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX10,isometheptene,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX11,caroverine,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX12,phloroglucinol,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX13,silicones,0.5,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX14,valethamate,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX15,menthae piperitae aetheroleum,,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX30,trimethyldiphenylpropylamine,50,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX30,,50,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03AX58,"alverine, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=A03AX&showdescription=no
A03BA01,atropine,1.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03BA&showdescription=no
A03BA01,,1.5,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A03BA&showdescription=no
A03BA03,hyoscyamine,1.2,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03BA&showdescription=no
A03BA04,belladonna total alkaloids,1,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03BA&showdescription=no
A03BB01,butylscopolamine,60,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03BB&showdescription=no
A03BB01,,60,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A03BB&showdescription=no
A03BB01,,60,mg,R,,https://www.whocc.no/atc_ddd_index/?code=A03BB&showdescription=no
A03BB02,methylatropine,3,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03BB&showdescription=no
A03BB03,methylscopolamine,12,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03BB&showdescription=no
A03BB03,,12,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A03BB&showdescription=no
A03BB04,fentonium,60,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03BB&showdescription=no
A03BB05,cimetropium bromide,,,,,https://www.whocc.no/atc_ddd_index/?code=A03BB&showdescription=no
A03BB06,homatropine methylbromide,,,,,https://www.whocc.no/atc_ddd_index/?code=A03BB&showdescription=no
A03CA01,isopropamide and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CA02,clidinium and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CA03,oxyphencyclimine and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CA04,otilonium bromide and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CA05,glycopyrronium bromide and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CA06,bevonium and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CA07,ambutonium and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CA08,diphemanil and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CA09,pipenzolate and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CA30,emepronium and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CA34,propantheline and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CA&showdescription=no
A03CB01,methylscopolamine and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CB&showdescription=no
A03CB02,belladonna total alkaloids and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CB&showdescription=no
A03CB03,atropine and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CB&showdescription=no
A03CB04,homatropine methylbromide and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CB&showdescription=no
A03CB31,hyoscyamine and psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03CB&showdescription=no
A03DA01,tropenzilone and analgesics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03DA&showdescription=no
A03DA02,pitofenone and analgesics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03DA&showdescription=no
A03DA03,bevonium and analgesics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03DA&showdescription=no
A03DA04,ciclonium and analgesics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03DA&showdescription=no
A03DA05,camylofin and analgesics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03DA&showdescription=no
A03DA06,trospium and analgesics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03DA&showdescription=no
A03DA07,tiemonium iodide and analgesics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03DA&showdescription=no
A03DB04,butylscopolamine and analgesics,,,,,https://www.whocc.no/atc_ddd_index/?code=A03DB&showdescription=no
A03FA01,metoclopramide,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA01,,30,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA01,,30,mg,R,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA02,cisapride,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA02,,30,mg,R,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA03,domperidone,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA03,,30,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA03,,0.12,g,R,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA04,bromopride,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA04,,20,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA05,alizapride,0.15,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA05,,0.15,g,P,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA06,clebopride,,,,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA07,itopride,0.15,g,O,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA08,cinitapride,,,,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA09,mosapride,,,,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A03FA10,acotiamide,,,,,https://www.whocc.no/atc_ddd_index/?code=A03FA&showdescription=no
A04AA01,ondansetron,16,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA01,,16,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA01,,16,mg,R,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA02,granisetron,2,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA02,,3,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA02,,3.1,mg,TD,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA03,tropisetron,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA03,,5,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA04,dolasetron,0.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA04,,0.1,g,P,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA05,palonosetron,0.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA05,,0.25,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AA55,"palonosetron, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=A04AA&showdescription=no
A04AD01,scopolamine,,,,,https://www.whocc.no/atc_ddd_index/?code=A04AD&showdescription=no
A04AD02,cerium oxalate,,,,,https://www.whocc.no/atc_ddd_index/?code=A04AD&showdescription=no
A04AD04,chlorobutanol,,,,,https://www.whocc.no/atc_ddd_index/?code=A04AD&showdescription=no
A04AD05,metopimazine,15,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A04AD&showdescription=no
A04AD05,,15,mg,P,,https://www.whocc.no/atc_ddd_index/?code=A04AD&showdescription=no
A04AD10,dronabinol,,,,,https://www.whocc.no/atc_ddd_index/?code=A04AD&showdescription=no
A04AD11,nabilone,3,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A04AD&showdescription=no
A04AD12,aprepitant,165,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A04AD&showdescription=no
A04AD12,,150,mg,P,Refers to fosaprepitant,https://www.whocc.no/atc_ddd_index/?code=A04AD&showdescription=no
